name,category,price,stock,image_url,active,slug
7 Chakra Bracelet,Bracelets,2200,10,/assets/images/7 Chakra Bracelet/7 Chakra Bracelet 1.webp,true,7-chakra-bracelet
Black Tourmaline Pendant,Pendants,2800,10,/assets/images/Black Tourmaline Pendant/Black Tourmaline Pendant 1.webp,true,black-tourmaline-pendant
Clear Quartz Pendant,Pendants,3200,10,/assets/images/Clear Quartz Pendant/Clear Quartz Pendant 1.webp,true,clear-quartz-pendant
Rose Quartz Pendant,Pendants,2600,10,/assets/images/Rose Quartz Pendant/Rose Quartz Pendant 1.webp,true,rose-quartz-pendant
Amethyst Pendant,Pendants,3000,10,/assets/images/Amethyst Pendant/Amethyst Pendant 1.webp,true,amethyst-pendant
Citrine Pendant,Pendants,2900,10,/assets/images/Citrine Pendant/Citrine Pendant 1.webp,true,citrine-pendant
Selenite Charging Plate,Utility & Decor,2200,10,/assets/images/Selenite Charging Plate/Selenite Charging Plate 1.webp,true,selenite-charging-plate
7 Chakra Crystal Tree,Utility & Decor,3500,10,/assets/images/7 Chakra Crystal Tree/7 Chakra Crystal Tree 1.webp,true,7-chakra-crystal-tree
Rose Quartz Crystal Tree,Utility & Decor,2800,10,/assets/images/Rose Quartz Crystal Tree/Rose Quartz Crystal Tree 1.webp,true,rose-quartz-crystal-tree
Amethyst Crystal Tree,Utility & Decor,2800,10,/assets/images/Amethyst Crystal Tree/Amethyst Crystal Tree 1.webp,true,amethyst-crystal-tree
Selenite Charging Bowl,Utility & Decor,2600,10,/assets/images/Selenite Charging Bowl/Selenite Charging Bowl 1.webp,true,selenite-charging-bowl
Blue Lace Agate Bracelet,Bracelets,1600,10,/assets/images/Blue Lasagate Bracelet/Blue Lace Agate Bracelet 1 original.webp,true,blue-lace-agate-bracelet
Carnelian Bracelet,Bracelets,1500,10,/assets/images/Carnelian Bracelet/Carnelian Bracelet 1 original.webp,true,carnelian-bracelet
Carnelian Crystal Tree,Utility & Decor,3200,10,/assets/images/Carnelian Crystal Tree/Carnelian Crystal Tree 1 original.webp,true,carnelian-crystal-tree
Clear Quartz Crystal Pyramid,Utility & Decor,2900,10,/assets/images/Clear Quartz Crystal Pyramid/Clear Quartz Crystal Pyramid 1 original.webp,true,clear-quartz-crystal-pyramid
Clear Quartz Bracelet,Bracelets,1400,10,/assets/images/Clear Quartz Bracelet/Clear Quartz Bracelet 1 original.webp,true,clear-quartz-bracelet
Golden Hematite Bracelet,Bracelets,1700,10,/assets/images/Golden Hamatite Bracelet/Golden Hematite Bracelet 1 original.webp,true,golden-hematite-bracelet
Green Aventurine Crystal Pyramid,Utility & Decor,2700,10,/assets/images/Green Aventurine Crystal Pyramid/Green Aventurine Crystal Pyramid 1 original.webp,true,green-aventurine-crystal-pyramid
Green Aventurine Crystal Tree,Utility & Decor,3100,10,/assets/images/Green Aventurine Crystal Tree/Green Aventurine Crystal Tree 1 original.webp,true,green-aventurine-crystal-tree
Green Jade Bracelet,Bracelets,1800,10,/assets/images/Green Jade Bracelet/Green Jade Bracelet 1 original.webp,true,green-jade-bracelet
Pink Tourmaline Bracelet,Bracelets,2400,10,/assets/images/Pink Tourmaline Bracelet/Pink Tourmaline Bracelet 1 original.webp,true,pink-tourmaline-bracelet
Pyrite Bracelet,Bracelets,1900,10,/assets/images/Pyrite Bracelet/Pyrite Bracelet 1 original.webp,true,pyrite-bracelet
Pyrite Crystal Pyramid,Utility & Decor,3400,10,/assets/images/Pyrite Crystal Pyramid/Pyrite Crystal Pyramid 1 original.webp,true,pyrite-crystal-pyramid
Pyrite Crystal Tree,Utility & Decor,3800,10,/assets/images/Pyrite Crystal Tree/Pyrite Crystal Tree 1 original.webp,true,pyrite-crystal-tree
Red Jasper Bracelet,Bracelets,1300,10,/assets/images/Red Jasper Bracelet/Red Jasper Bracelet 1 original.webp,true,red-jasper-bracelet
Rutile Quartz Bracelet,Bracelets,2600,10,/assets/images/Rutile Quartz Bracelet/Rutile Quartz Bracelet 1 original.webp,true,rutile-quartz-bracelet
Selenite Bracelet,Bracelets,1500,10,/assets/images/Selenite Bracelet/Selenite Bracelet 1 original.webp,true,selenite-bracelet
Sodalite Bracelet,Bracelets,1400,10,/assets/images/Sodalite Bracelet/Sodalite Bracelet 1 original.webp,true,sodalite-bracelet
Turquoise Bracelet,Bracelets,2100,10,/assets/images/Turquoise Bracelet/Turquoise Bracelet 1 original.webp,true,turquoise-bracelet
